Time Step,Load (kWh),Solar Production (kWh),Curtailment (kWh),Battery Charge (kWh),Battery Discharge (kWh),State of Charge (kWh),Lost Load (kWh),Generator Production (kWh)
214,18.9547342,0.0,0.0,0.0,0.0,0.0,5.236918949231043,13.717815250768957
215,16.68718482,0.0,0.0,0.0,0.0,0.0,2.9693695692310413,13.717815250768957
216,12.40701858,0.0,0.0,0.0,0.0,0.0,0.0,12.40701858
217,9.48566455,0.0,0.0,0.0,0.0,0.0,0.0,9.48566455
218,10.51171328,0.0,0.0,0.0,0.0,0.0,0.0,10.51171328
219,11.27724973,0.0,0.0,0.0,0.0,0.0,0.0,11.27724973
220,11.6105661,0.0,0.0,0.0,0.0,0.0,0.0,11.6105661
221,11.51896395,0.0,0.0,0.0,0.0,0.0,0.0,11.51896395
222,11.55212743,0.0,0.0,0.0,0.0,0.0,0.0,11.55212743
223,8.382418717,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,0.0,8.306008693905511
224,7.9704891,0.6876902078503937,1.1102230246251565e-16,0.0,0.0,0.0,0.0,7.282798892149606
225,8.07645915,3.6422111008372706,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.434248049162729
226,8.719511783,6.176476866804462,0.0,0.0,0.0,0.0,0.0,2.5430349161955377
227,8.385613183,7.997582417223098,0.0,0.0,0.0,0.0,0.0,0.388030765776902
228,8.36514515,8.36514515,0.7531176059422577,0.0,0.0,0.0,0.0,0.0
229,8.6538431,8.6538431,0.9483498022073498,0.0,0.0,0.0,0.0,0.0
230,9.246714983,9.246714983,0.26633289226377954,0.0,0.0,0.0,0.0,0.0
231,8.706552367,8.706552367,0.131540304262467,0.0,0.0,0.0,0.0,0.0
232,8.679497567,7.564592286354331,0.0,0.0,0.0,0.0,0.0,1.1149052806456696
233,8.629317267,5.679811716690289,0.0,0.0,0.0,0.0,0.0,2.94950555030971
234,8.3333994,3.2728959892139113,0.0,0.0,0.0,0.0,0.0,5.0605034107860885
235,9.327464367,0.8532452578884516,0.0,0.0,0.0,0.0,0.0,8.474219109111548
236,13.65890782,0.06367501924540683,0.0,0.0,0.0,0.0,0.0,13.595232800754593
237,17.75931722,0.0,0.0,0.0,0.0,0.0,4.041501969231042,13.717815250768957
238,17.85272997,0.0,0.0,0.0,0.0,0.0,4.134914719231041,13.717815250768957
239,16.5702345,0.0,0.0,0.0,0.0,0.0,2.852419249231044,13.717815250768957
240,11.12359215,0.0,0.0,0.0,0.0,0.0,0.0,11.12359215
241,6.6626062,0.0,0.0,0.0,0.0,0.0,0.0,6.6626062
242,10.42439545,0.0,0.0,0.0,0.0,0.0,0.0,10.42439545
243,11.41021588,0.0,0.0,0.0,0.0,0.0,0.0,11.41021588
244,11.66399995,0.0,0.0,0.0,0.0,0.0,0.0,11.66399995
245,11.94794865,0.0,0.0,0.0,0.0,0.0,0.0,11.94794865
246,11.70489573,0.0,0.0,0.0,0.0,0.0,0.0,11.70489573
247,8.045150817,0.10188003079265093,0.0,0.0,0.0,0.0,0.0,7.943270786207349
248,8.1020179,0.8405102540393702,0.0,0.0,0.0,0.0,0.0,7.26150764596063
249,8.202533383,3.3365710084593183,-4.440892098500626e-16,0.0,0.0,0.0,0.0,4.865962374540683
250,8.725096433,5.730751732086615,0.0,0.0,0.0,0.0,0.0,2.994344700913384
251,8.66478815,7.666472317146982,0.0,0.0,0.0,0.0,0.0,0.9983158328530175
252,8.654397083,8.654397083,0.27284061520603764,0.0,0.0,0.0,0.0,0.0
253,9.512902017,9.512902017,0.01288086211286199,0.0,0.0,0.0,0.0,0.0
254,9.897813867,9.462107859867455,0.0,0.0,0.0,0.0,0.0,0.4357060071325449
255,8.69775625,8.69775625,0.14033642126246804,0.0,0.0,0.0,0.0,0.0
256,8.167985783,7.615532301750656,0.0,0.0,0.0,0.0,0.0,0.5524534812493442
257,8.312054617,5.7562217397847775,0.0,0.0,0.0,0.0,0.0,2.555832877215222
258,9.172305633,3.3493060123083995,0.0,0.0,0.0,0.0,0.0,5.822999620691601
259,13.4642839,0.8405102540393702,0.0,0.0,0.0,0.0,0.0,12.623773645960629
260,15.58046277,0.050940015396325464,0.0,0.0,0.0,0.0,1.8117075038347181,13.717815250768957
261,18.48675827,0.0,0.0,0.0,0.0,0.0,4.768943019231042,13.717815250768957
262,18.5245337,0.0,0.0,0.0,0.0,0.0,4.806718449231042,13.717815250768957
263,16.4837646,0.0,0.0,0.0,0.0,0.0,2.765949349231043,13.717815250768957
264,12.17396168,0.0,0.0,0.0,0.0,0.0,0.0,12.17396168
265,9.554194533,0.0,0.0,0.0,0.0,0.0,0.0,9.554194533
266,10.21566323,0.0,0.0,0.0,0.0,0.0,0.0,10.21566323
267,11.13791812,0.0,0.0,0.0,0.0,0.0,0.0,11.13791812
268,11.38805073,0.0,0.0,0.0,0.0,0.0,0.0,11.38805073
269,11.23669712,0.0,0.0,0.0,0.0,0.0,0.0,11.23669712
270,7.9051107,0.0,0.0,0.0,0.0,0.0,0.0,7.9051107
271,7.8775656,0.07641002309448819,1.3877787807814457e-17,0.0,0.0,0.0,0.0,7.801155576905511
272,8.001721567,0.6749552040013124,0.0,0.0,0.0,0.0,0.0,7.326766362998688
273,8.204793383,3.565801077742783,0.0,0.0,0.0,0.0,0.0,4.638992305257217
274,8.47151535,6.074596836011811,0.0,0.0,0.0,0.0,0.0,2.3969185139881892
275,9.009165067,7.882967382581365,8.881784197001252e-16,0.0,0.0,0.0,0.0,1.126197684418635
276,8.665867583,8.665867583,0.312310130602361,0.0,0.0,0.0,0.0,0.0
277,8.956619617,8.956619617,0.5054882428674556,0.0,0.0,0.0,0.0,0.0
278,9.355088033,9.355088033,0.030609803772966515,0.0,0.0,0.0,0.0,0.0
279,8.782754683,8.736212640469818,0.0,0.0,0.0,0.0,0.0,0.04654204253018257
280,8.288719933,7.513652270958005,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.7750676620419945
281,8.186138767,5.679811716690289,0.0,0.0,0.0,0.0,0.0,2.50632705030971
282,8.307749983,3.2983659969120738,0.0,0.0,0.0,0.0,0.0,5.0093839860879275
283,9.213005267,0.8405102540393702,0.0,0.0,0.0,0.0,0.0,8.372495012960629
284,14.86202512,0.050940015396325464,0.0,0.0,0.0,0.0,1.0932698538347179,13.717815250768957
285,17.75185772,0.0,0.0,0.0,0.0,0.0,4.034042469231043,13.717815250768957
286,17.73250893,0.0,0.0,0.0,0.0,0.0,4.014693679231044,13.717815250768957
287,16.14967063,0.0,0.0,0.0,0.0,0.0,2.431855379231042,13.717815250768957
288,8.593218767,0.0,0.0,0.0,0.0,0.0,0.0,8.593218767
289,6.236981433,0.0,0.0,0.0,0.0,0.0,0.0,6.236981433
290,10.27971508,0.0,0.0,0.0,0.0,0.0,0.0,10.27971508
291,10.8228998,0.0,0.0,0.0,0.0,0.0,0.0,10.8228998
292,11.14673368,0.0,0.0,0.0,0.0,0.0,0.0,11.14673368
293,11.42994705,0.0,0.0,0.0,0.0,0.0,0.0,11.42994705
294,11.2860451,0.0,0.0,0.0,0.0,0.0,0.0,11.2860451
